,date,funny,business_id,text,user_id,useful,cool,stars,review_id
53687,2016-07-03,0,kgffcoxT6BQp-gJ-UQ7Czw,"I ordered a few 12 inch sandwiches , a turkey and a chicken... wanted avocado...they were out!
Really?? This store is in the same parking lot as SMITHS Grocery and these lazy and UNEMPOWERED employees can't take a five'r over there and buy a few avocado's for peoples sandwiches???  Subway needs to look at their policies, training, and allow their people to be able to satisfy their customer's needs....Adios!!",ih7Dmu7wZpKVwlBRbakJOQ,1,0,1,c6iTbCMMYWnOd79ZiWwobg
463269,2010-06-20,2,kgffcoxT6BQp-gJ-UQ7Czw,"A very dirty place. You can watch the employees picking the gunk out from between the bins with their fingers, and then watch them make your sandwich while wearing the same gloves. Another customer said something about changing gloves, and he was ignored. I walked out, and will never go back.",zqL43wHcz133AVvEuba67w,3,0,1,fisvc16rY1Q5NTX_O_QQ2A
1844498,2014-02-16,0,kgffcoxT6BQp-gJ-UQ7Czw,"They make good sandwiches and don't skimp you , but they really need to turn the open sign on in the mornings .",erWAz4mU0dHuScIMwjwmHg,0,0,3,n2GZoprIloThiT0ebTH1Yg
2257382,2018-03-10,0,kgffcoxT6BQp-gJ-UQ7Czw,"Worst subway of any I have visited. I have many years of eating at subway all over the country and even in England once. I've had 2 bad experiences here at this location. About a year ago I went in and they had no bread. They claimed that they ran out. How the F does subway run out of bread. It's literally their main item. My 2nd bad experience was 2 days ago. I got stale bread. Again, bread is their main item.  How can they serve stale bread? They really suck at their job!  I would avoid this location and go to any other location.",m3WBc9bGxn1q1ikAFq8PaA,1,0,1,5iDdZvpK4jOv2w5kZ15TUA
2443105,2012-07-10,0,kgffcoxT6BQp-gJ-UQ7Czw,"I love subway, I usually go to one on Cheyenne, but I discovered this one on my way to the grocery store. I'm always annoyed with the lack of products at the other location, so I tried this one out.

The employees were very friendly,chatty and I didn't have to repeat myself. They had all their products fully stocked and they actually had AVACADO!!!! 

I will now always come here!",uZ4z-4ftg7LbGR_blmZTow,0,0,5,GZcMwH14Ohc35oVNNQ5C6g
3257805,2011-09-05,0,kgffcoxT6BQp-gJ-UQ7Czw,"I'm a chronic Subway Eater and I'm glad that there are so many around town.  However, this location disappoints me.

I've been here a few times this summer and I always feel like this place is lacking.  Lacking what you may ask?  Lacking the friendly greetings when you walk in. Lacking the attentiveness and quickness the employees come out from ""behind"" the kitchen.  The employees are of a different caliber than other locations.  They seem like apathetic teenagers that do the bare minimum to get your out of their hair.

The last time I came in on Saturday I ordered my usual:

Toasted Foot Long Oven Roasted Chicken on Flat Bread with, Provolone Cheese, Lettuce, Tomatoes, Cucumber, Pickles, Olives, Bell Pepper, Onion, Vinegar.  

I didn't get the toasted part because their toaster was broken!  They did microwave it but that kind of defeats the purpose of ""eat fresh.""  You would think a restaurant would have a backup toaster on hand as it's such a key tool in their process.",dLrMDYQ9TwfodJxYLfaKDQ,1,0,2,EeOaHnkH6YFHqQbGqRPRXg
3519527,2012-07-31,0,kgffcoxT6BQp-gJ-UQ7Czw,"Subway for lunch at just $5?!?! You bet!

The staff was very friendly the store was very clean and the sandwich was very good.",Fv0e9RIV9jw5TX3ctA1WbA,4,3,4,jUNwlZ1CaMClAitkJTePUg
3711288,2011-05-29,0,kgffcoxT6BQp-gJ-UQ7Czw,Dirty place! They don't even wear gloves when making the food. Also one employee had a bad attitude when he forgot to toast my bread after asking me if I wanted it toasted. He was upset with me because he forgot which I didn't understand. When making the second sandwich he was throwing the food together resulting in a terrible sandwich. I will never go to this Subway again!,sZGLFIjpOfSgDnEx_Jkhpg,0,0,1,smEpEBV-MM6TmYhbBg09Fw
3829295,2010-11-29,3,kgffcoxT6BQp-gJ-UQ7Czw,"I'm a fan of Subway in general....but this place is a good one because it makes good sandwiches.  Unlike the other reviewer, I've never had any issues with this location's cleanliness.  I've eaten here at least 15 times over the past 3 years.  It's on my way home from the gym, so I stop in here for a meal often.

This last visit, I ordered a 12"" BMT on Italian Cheese Bread, Jalapeno Chips, and brought my own Bottle of Water (much cheaper this way).

The BMT was awesome.  I had it toasted and put Provolone, Lettuce, Tomatoes, Green Peppers, Pepperoncini, Mustard, Mayo, Salt & Pepper, Oregano, Oil & Vinegar on the Sandwich.  Very tasty.....just how I like it.

Will I return?  Unless I move, I will be back soon!",QJI9OSEn6ujRCtrX06vs1w,6,4,4,fSLa07uKnLz_fCI62ZVfrg
4967679,2014-10-09,0,kgffcoxT6BQp-gJ-UQ7Czw,"Maggie is a CHAMP!!!

poor thing was there by herself with about 8 people in line all with super complicated orders, making last minute changes and all with multiple sandwich orders. she killed it. stayed calm greeted every person who came through the door and gave overall great service.",pXKT_UKT2JCgTGuw0OBhbw,1,1,5,O1gCFShXe3lcMdJLwtzXVg
