,date,funny,business_id,text,user_id,useful,cool,stars,review_id
1161,2015-11-08,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Hands down the BEST sushi I have ever had with a lot of great options to choose from, and the customer service to match it... but you will pay for it",0FJbbY865TdxboeHRyfgAQ,0,0,5,FeYCURv6pO0IPfbOgejgNw
6320,2015-12-16,0,JJAwT9R6Fp2yyWHtWFA8uQ,Come by and see the owner June for an amazingly delectable experience. We stopped in for the all you can eat sushi for lunch and told him to surprise us! It was delicious and had some great conversations. Highly recommend fresh fish and great atmosphere.,S3rMzYuiMAwoqJKWiYTiGw,0,0,5,XtfZFYN6gR8YzAnv-qtb5w
11618,2017-06-17,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Came here on a whim,  man it was good.  Despite it being Friday night it was slow and sat at the sushi bar and the chef on duty was making me roll after roll of the popular ones.  I ordered a few more off the menu and everything was fantastic. Would definitely return.  Favorite was the big easy roll and spicy garlic edamame.",zrlJ7B2BSfvxr0b5iW20jg,0,0,5,71TodkgqfABwi5zvaY6JYA
25829,2018-01-01,0,JJAwT9R6Fp2yyWHtWFA8uQ,"My family decided to come here after looking at  the Yelp reviews. We were looking for a all you can eat sushi place with fresh sushi and reasonable pricing. We have 3 young kids. Financial standpoint, it doesn't make sense for us to go eat all you can eat expansive buffet at hotels. We were happy we came. There was many choices on the menu such as rolls, nigiri, cooked appetizers. Sushi was pretty fresh and we enjoyed our dinner.Service was good as well. We will come back again next time we visit Vegas!",pj0RhfTKAvykYrcToKOuLA,1,0,4,XyQ5auEPQZZKQqYaHUShIA
43200,2016-06-06,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Horrible service! Paid for all you can eat and the wait staff was never there. 

There is a million sushi places in this town, don't waste your time here.",Xc57rK_y1omNw2RGpV9owQ,1,0,1,9TS4-k9VHO5R6T2OqqN1EA
47787,2017-11-09,0,JJAwT9R6Fp2yyWHtWFA8uQ,"What a great experience!  Food was delicious, employees are very professional and helpful with picking meal choices.  Definitely will be coming back!",1TmW0ZKEIF9gWO0seeY4Qw,0,0,5,RPMcl6PXQn193aF2KI3mqA
51890,2017-07-21,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Awesome awesome place!  I am a vegetarian, they had so many options for me as well. So many choices. Great friendly staff. Definitely will be back.",Y_hQN3_MP03xXGHQz5jaUA,0,0,5,vCpqYdvzWjiOrrS4UXoDdw
75772,2015-10-11,1,JJAwT9R6Fp2yyWHtWFA8uQ,"Ordered from here for lunch today.  Got super white tuna, miso, seared tuna, seaweed salad and fat ass roll. They gave me NO wasabi and no utensils, and no napkins. The food was GROSS. Inedible. I only ended up eating the miso. Everything else was too foul smelling and disgusting. Waste of money. Won't be back.",nYfG2Y2eLaKiaPoY-xVpCg,2,0,1,P14X4Mdf9b_S-k_UEBZRLA
78816,2015-06-23,0,JJAwT9R6Fp2yyWHtWFA8uQ,"just opened, great sushi! great service! recommend the"" hot n juicy"", ""carrot top "" , and spicy edamame, ..Sake Bomb!  well it's been about 12 things tried so far and everything has been awesome , n in picky sushi eater, I never do all you can eat but this will be a repeat for sure , gets a 5",lkpByR5Jv9eTx8Z3beFwdg,3,1,5,0rnjHTV2PXukiIPiEwbdlw
80995,2015-08-29,0,JJAwT9R6Fp2yyWHtWFA8uQ,"We stay in the Wynn and walk to here to have Sushi, worth it! So delicious! The dinner buffet is $26.96. Love ink, salmon! Nice",B7QbjPFEAPvLnm-CcJJjPw,0,0,5,CgSlUWsOVVsFC-JfQZWSIA
95391,2016-06-25,0,JJAwT9R6Fp2yyWHtWFA8uQ,Was told last call was at 130 at 120 and not served. Luckily other places inside the complex were open. Unfortunate cause of the really good reviews.,QaWaajzqwHalLuTcecpPXA,0,0,1,LoQMDCRGGL0SO0kNHNKKCA
99966,2015-09-13,0,JJAwT9R6Fp2yyWHtWFA8uQ,"This is hands down the BEST sushi restaurant I've been to thus far. We're talking better than Yama, Kaizen, Sushi Mon and Jjanga. They are fairly new in town so I can only hope this continues to be the case after they've become more popular. 

The friendly, warm service was better than expected. This one guy Richard, who seemed to be the manager, constantly came over to check on me and other guests. Based on my initial orders, he asked if he could recommend a couple dishes which were the specials of the evening. I've never had this happen before during an ayce experience.

There is soft lighting, dark tables and chairs and music that wasn't loud enough to get annoying. This would make a good place for a date. The sushi bar was the most spacious I've seen to date and with plenty of elbow room between chairs.

My picks for the evening:

*Screaming Orgasm: Lightly seared tuna over a bed of radish with some ""O"" sauce.
*Salmon Tar Tare
*Poke Salad
*Evening specials (sashimi): Super white tuna & yellowtail. Both with jalapenos. 
*Rolls: Big Easy, Dancing Eel, Kiss of Fire, Burning Your Stomach 

After demolishing said dishes, I polished off the meal with a refreshing order of their Yuzu Sorbet. Part of me wanted the honey bread but nobody needed to see me get assisted out the door. 

For $26 buckaroos for dinner, it can't get better than this. Also, don't forget your stamp card. Your 11th ayce is on them. I will be back at least once before the end of this month.",GLp5vueztLtd8HtcvqvhBw,6,0,5,aNNxl87juf_hWjWMSUP5Kw
103679,2015-07-12,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Sooo delicious! They're all you can eat is the best I've had in Vegas! You have to try the coconut shrimp tempura & the sexy lazy roll.. the staff is great, super friendly :)",nH2Uzn7jof7tIH-7-HdfcA,1,0,5,dLixc1RwOnhiGToekbxktA
104881,2016-05-14,1,JJAwT9R6Fp2yyWHtWFA8uQ,Great quality! The sushi is really fresh. Off the strip so no need to worry about parking. We are on vacation and will definitely keep coming when in town!,4VjwUwXvkSmaZA5QC31QNw,1,1,5,5fEom_CBspz9zt0sPFy_vQ
118780,2016-12-08,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Fish was fresh and delicious! Service was super friendly; Richard was my server and he did a great job recommending rolls based on what I liked. Price for the all you can eat is very reasonable! I loved that you can order 1/2 rolls (4 pieces) instead of full rolls (8 pieces) that way you get to try more of the different rolls/flavors. Great place, I will definitely be coming back.",pUiqZD_U1ouzwqbaZRdP7Q,0,0,5,NctPiK-etCRImlFl-6-D1Q
124860,2017-11-19,0,JJAwT9R6Fp2yyWHtWFA8uQ,"We went to a couple of all u can eat sushi bars & this is definitely the best. 
1) anything you order from 'today special' is Exellent 
2) seaweed salad, baked mussel & salmon roe are very fresh 
3) dinner includes Korean Kalbi, Sea urchin, oyster , sweet shrimp & Tuna sashimi - for extra $5 is a steal 
4) ask for waitress Sun - she is thoughtful & delivers orders so much faster",xWZiAWxJhecJ-v5ZFxX9UA,0,0,5,TwFlTqsenU6P2Otju32EMw
145952,2015-08-29,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Good sushi! Service was excellent! There's only 1 host and he's also the waiter...he's very efficient!  The place is clean and modern. 

*you can make your own rolls
*you can order half rolls
*dessert is only 1 per person
*open late!

We will back!",juwaoI6oWOWFROG988OMcw,0,0,5,lkH1uPcwdllwN-ZE-q4ULw
154114,2017-04-01,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Wow, we come here at least once every two weeks. The sushi is extremely fresh and their extended menu which includes fried rice, gyoza, salmon wrapped in bacon, galbi, screaming orgasm and at least 20 other dishes by far makes it the best AYCE sushi in Vegas. It is $21.95 for lunch and $26.95 for dinner and they always have amazing specials. I just tried the Salmon Kama which is a fried half of fish is incredibly good!!!!! I highly recommend you give this place a try it is centrally located and 2 min drive from the strip by car of 7-10 min walking.",vrYY6ByqCS-2We-raSqjXQ,0,0,5,f5JlbyeAM8-Eb2UK1W4P1w
161324,2015-08-15,0,JJAwT9R6Fp2yyWHtWFA8uQ,Damn good sushi..... i expect huge lines in this little hidden gem.  Recommend the orgamsic roll.... to die for!,9_YTQyoHtBn5MNmO4zlROQ,0,0,5,ZA-wWC5V043m2YxULbOGaA
186296,2016-04-22,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Great Sushi! Unbelievably fast enormous variety...service was excellent friendly and hospitable.
0 complaints All Great!",lrs5OLhYs-LzcG_WhK-bng,0,0,5,KaS-bZ-h0FWUZCGfL3VRvw
224816,2017-05-27,0,JJAwT9R6Fp2yyWHtWFA8uQ,Everything I tired here was great. The only thing I didn't like was I ate to much. I will definitely be coming back here again.,HQXFi8Xw_ZNOi-gkgnf5YQ,0,0,5,7x4-zde47sN1UKb-Eb_BYg
236325,2016-07-21,1,JJAwT9R6Fp2yyWHtWFA8uQ,Just got into Vegas and made a quick stop for sushi. Reviews were right. I don't usually like all you can eat sushi but this was good!  Definitely coming back next time we are in town.,CS4w5X27Kb3Ffg9sH0nVaA,1,1,5,CctfeMcpiX7NhFK4mJ3gTg
240674,2016-02-13,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Sushi way wasn't bad but it wasn't mind blowing, either. It was so-so. 

I wish they had a half star. I think three stars is too low but four stars rating is a bit high. I give them 3.5 stars. 

The sushi nigiris were okay. I think, the best one would be the super white. However, the consistency in making it isn't constant. My first nigiri had just a bit of spicy drizzle on top. My second nigiri was soaking in sauce. :/

In terms of freshness... the fish on the sushi nigiris did taste like they kinda had been on ice for a few hours. For ex. the salmon nigiri was kinda dull in complexion, it wasn't shiny. It tasted a bit milky but wasn't as milky as the other ones I've tried in other Ayce. 

The tuna in the tuna salad had a weird consistency. Unlike chopped tuna I've tried before... their tuna was kinda gelatin in consistency. It didn't taste bad but the consistency was throwing me off.

I also tried their sushi nachos. I think that's my favorite out of everything I've tried. However, they soaked it too much with sauce. :/ They should just have a side sauce for the sushi nachos. 

Because of reviews online... I ended up wanting to try their honey bread. OMG. It was super sweet. They shouldn't have drizzled it with honey and then chocolate syrup. The bread itself was already sweet. I should have just ordered a scoop of green tea ice cream. Sigh. 

Service was fast, which I was happy about. However, they weren't that busy that day.",HdR-lOoagkl4pQC-xvBlyQ,0,0,4,fijSyIjYE7LPe7U0ifD6_g
242374,2015-07-23,0,JJAwT9R6Fp2yyWHtWFA8uQ,Place is solid- sushi is of a high quality for AYCE. Lunch price is 21.95 very reasonable. Service is fast and courteous. Go with the oh! Jenna roll.,rjuXZtfjhkIrF0lamHm2OA,0,0,5,V29YcLIydr9UMjNcZ-N4lA
250383,2016-03-04,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Great Sushi off the strip. Ivan does an unbelievable job, friendly and amazing sushi. Will be back on my next Vegas visit.",HXR_lFXH0E-0NGQsIQoJLA,0,0,5,yNUpPS2-762VnqBenyM5zQ
251113,2015-08-27,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Excelent and fresh fish, super nice service, not expensive at all. We forgot our credit card and they were super effective when giving it back. 
I loved the dinner all together a lot!",oz8RPrMCnfrDwWbukm6p6A,0,0,5,e0tRiR2D9LCr3LeuiMwXgA
252219,2016-03-13,0,JJAwT9R6Fp2yyWHtWFA8uQ,"This is my first Yelp review. The service here is that miserable that I feel the need to share. On a tight schedule, our party of 8 showed up at 8:05 PM for an 8 PM reservation. We came to find a completely full restaurant and no host at the stand. When I could finally get the attention of a staff member, we were told a party had come in 5 mins before us claiming to be me and swiped our reservation. The restaurant was unwilling to move the party even though they had not placed any orders, and we were forced to wait. After 30 minutes of waiting, we were told again we couldn't be helped. We were never offered any compensation (discount, free drinks, etc) or even a simple apology for the inconvenience. The restaurant staff was unwilling to accept any blame for the incident and did 0 to alleviate the situation. We eventually were forced to leave hungry due to our tight schedule. 

Although I live close, I will never return to this restaurant, and I will do my best to make sure no one I know goes there either.",IAYef6rU9TZL-HiYzO0wTg,1,0,1,CYt-f9qze-BeZbdh-ZTvqw
275823,2016-03-03,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Being from Reno, I thought that i had eaten a lot of Sushi, especially AYCE, while traveling on business I stopped in at Sushi Way, WOW, great service great atmosphere and vibe, Great Value, huge list of cooked rolls and apettizers for your friends that dont like raw stuff. Most places that do AYCE have a limited menu, not here, everything was on the menu!  I sat at the bar and got great service . a lot of the nigiri that i tried had some small tweaks that made it that much better.  Will come here again next time i am in town. my new favorite place!",68ap8eT7YL37K8oXIpy6uA,0,0,5,KfZbLEVff8U5PILkqfWheg
275979,2016-03-26,1,JJAwT9R6Fp2yyWHtWFA8uQ,This place is pricey but i completely understand why! Everything is so tasty and fresh! I suggest the OYSTERS u can never ever ever go wrong with AYCE OYSTERS! Its sooooo GOOD! Doesnt have that fishy taste they wash it thoroughly! Friendly and veey welcoming atmosphere. our waitress Jane was delightful and very attentive to our needs! Y'all betta get over here and try this joint!,OwynWli8eUsRYTE2o0hWZg,0,0,5,WB-KPQGHJ6t7oN7Vv8nWPw
287943,2016-06-18,1,JJAwT9R6Fp2yyWHtWFA8uQ,"So far this is the best AYCE sushi place I have ever tried. (I've been to almost everywhere in Vegas.) Foods are good service is good too. Ratio of fish and rice is fantastic. Not too much rice, fish is thick. Love this place.",DThwUrNgJRCmgU5--a_ODg,1,1,5,frGb5DlKOEl7Zs06HfQ6ww
321279,2016-03-27,0,JJAwT9R6Fp2yyWHtWFA8uQ,"There are times in your life when about every other week you crave for sushi and carefully ask your stomach which location you want to go to to fill this void. Well today we ended up here today because of the dericious selections they have. 
If you luckily make it here you must order these following items to experience the ""sushi way"" of life =]
Sweet shrimp
Sea urchin (very sweet here. Not all you can eat have it like this)
Seard salmon nigiri
Tuna Nigiri 
Fresh oysters
Salmon skin salad 
Fresh water eel 
Miso soup 
Poki
Japanese lasagna 
They also have 2 things I order that's not on the menu that you should try.
Hamachi kama and fresh Wasabi which I put on everything. 
And for Desert 
Tempura ice cream and HONEY BREAD! 
ENJOY!!!",2Mycxti5YHoKhy9dRysa0w,0,0,5,d75nCYUXVzbfaLfd6Dkedw
322496,2016-10-23,0,JJAwT9R6Fp2yyWHtWFA8uQ,Great service and great sushi. Always a fantastic experience here with friendly service and fresh sushi. Tried a bunch of AYCE and this is the best.,VPgUrFi_tdLldB3WQ3CqtQ,0,0,5,tEgfkv8OzG3vsoujEf5ttg
338772,2017-12-28,1,JJAwT9R6Fp2yyWHtWFA8uQ,"Just because I'm ""white"" doesn't mean I don't enjoy flavorful spices. Please don't skimp out on the sauces. I know what I'm ordering. 
Also, I was kind of offended that my chopsticks were wrapped with cheaters and no one else's were.",tEtqv94AHDQpkWMRgE1NJA,0,0,1,tQA9D43aTV7roh-EE6Sc0A
350763,2017-03-12,0,JJAwT9R6Fp2yyWHtWFA8uQ,Stumbled upon this little gem by accident and I'm so glad that I did. Their food quality is amazing. service is great. The atmosphere is casual and welcoming. The fish itself is fresh and on point. I haven't even talked about the most amazing deal that any wallet loving individual has yet to see. The all you can eat sushi menu. There are few places far and wide who are able to offer their costumers an all you can eat menu without limiting the individuals to certain roles and quality. Not this place. you literally have the whole freaking menu at your will to devour without hesitation. COME WITH AN APPETITE. Time is your only enemy as this amazing deal has restrictions of 1 hour for lunch and 90 minutes for dinner. But that is more than enough time to eat 7-8 rolls each.,ay_Wyb0cXTHkNauWgXZ4Eg,0,0,5,nffy3nlDgRsh172NPkVYng
355798,2016-03-11,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Everything was wonderful.  My only complaint is that I can no longer see my toes, but that's my fault for eating too much awesome food.

The service was amazing,  everyone was so nice and helpful.  I never saw the bottom of my hot tea. :)",I1HSCEI5LVyw0s7L5TDb5g,0,0,5,PunG3YjYO6fScr4TCzXJgA
357438,2017-07-25,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Awesome food ... all you can eat with a great variety choices. 

Definitely a go to spot when in Las Vegas. Great family environment and experience. Service was great and quick ...",ShU81MMDYOg8dSpVD1Dc1A,0,0,4,70xsMeupAqz_W4NOtsNnNg
365189,2015-08-31,1,JJAwT9R6Fp2yyWHtWFA8uQ,"AYCE. Very slow.. I was the only customer and literally the each order came out past 7 to 9 minutes apart and I was already half full on 3rd order, usually I don't order many at a time cause I hate to waste food but this place, but if I have to go back, will order as many as I can in first order. 
The server was nice guy but forgot my , salmon roe roll, tuna roll.
The worst thing of last visit was uncooked pork cheese roll.",lq_2ERFQSpp3__CZxa6l5w,0,0,3,JMqW_G_pvMMSl6CItRYcNA
371718,2016-02-03,0,JJAwT9R6Fp2yyWHtWFA8uQ,First time trying this place and it is my new favorite sushi spot in Vegas! It's delicious! Freshest fish I've had in awhile and the chefs are amazing!,WWGLq51OWLCxG5whC4Xc6w,0,0,5,Ql4yNOgvaxGlF9ufYEWMmw
372804,2015-12-17,0,JJAwT9R6Fp2yyWHtWFA8uQ,"All you can eat at a great price. Sat at the bar and had fantastic service, chefs were very fun and attentive. The sushi I had was better than many places with much higher prices highly recommend!",lSoZm0wwRYOsgjrE59A43A,0,0,5,wV8t25bkTE9UQPOunXo1DA
387031,2017-12-28,0,JJAwT9R6Fp2yyWHtWFA8uQ,"We have been to many sushi all you can eat sushi restaurant in the past, but this is the best one so far. Excellent service, sushi and desserts.",YOwpOSYFBGrZK1D78v6gFw,0,0,5,JKRaOnQVSTZ1P8DNbJEA4A
397641,2016-10-25,0,JJAwT9R6Fp2yyWHtWFA8uQ,"Dropped in based on previous Yelp reviews and was not disappointed!  Worked our way through Tuna, Salmon skin and JJ roll, also had the fried rice excellent! Jun and Monica are great hosts, we'll be back.",enGTyi-0E_s6S6DEdUtuXA,0,0,4,NlG8-cm9bxsibJLyobWX2w
399531,2015-10-10,0,JJAwT9R6Fp2yyWHtWFA8uQ,The owner is very friendly even after it being our second time he recognized us and thanked us for coming back. We went once and loved it the second time was just as wonderful. It's great to see someone so passionate about his place. He also make great sushi :),I1RfcN4LOZrlQTBkKsOX3A,0,0,5,uGaZ20fKc6lwYbU4Tz1mAQ
424021,2015-08-19,0,JJAwT9R6Fp2yyWHtWFA8uQ,Definitely recommend this place fresh fish great dishes really clean and friendly staff ..... Alaska roll is a must for me ..... Please visit sushi way and enjoy their sushi,MaOZGn54TuDdYUWXEoWjDw,0,0,5,3LPcfFOj2dpWBiTApNRVCQ
433823,2017-07-04,0,JJAwT9R6Fp2yyWHtWFA8uQ,The service is great and very fast. Hospitality is great and so is the food. The fish is not low grade. Food comes out in a reasonable time and is very delicious,liDWpw0wAemiU9RK9DLKWA,0,0,5,kajETfgF22eRzgGsWwHIzA
