,date,funny,business_id,text,user_id,useful,cool,stars,review_id
11989,2014-10-17,0,98hNRWW4AC5IzEg4BP3f5Q,"Worst service EVER! I would of gave zero stars if possible. We went to celebrate two birthdays. We had a party of 12. It took over 30 minutes for us to get our orders. We all waited forever! We each had ordered and each waited for more than 30 minutes each! Other patrons came in after us and got their food before us. When asked they kept apologizing. Saying they were busy. The ""owner"" lady was rude!!! 
The food quality was average. Ordered some nigiri sushi. There rice portion was huge! Four times the amount of rice to the size of the sliced fish. Could of made three more nigiris. Pretty sad.
When we got our checks to pay we asked about their frequent stamp card. She said she wouldn't stamp our cards cause we had used the free birthday dinner promo. Hello we had to pay for three other people to get the promo so why wouldn't we get stamped. She said ""well we had a time limit and could of close you down."" Meaning we went over our one hour time limit. Hello? We went over cause your service was slow and horrible. Constantly having to ask where our order was and asking for drink refills. WILL NEVER EVER GO BACK!!",-1yVLNCQbL2k6aXr4IeeFQ,0,0,1,k8NpVPA42elDV8hkCFq8-w
45547,2010-11-23,0,98hNRWW4AC5IzEg4BP3f5Q,"Although the area isn't very nice the food is yummy. Since I like to try out different sushi spots I came across Sage Sushi, so I yelped that sucker and went even though some of the reviews were low. But hey I like trying places even though some people might not like it. Everyone has their own opinion right? 

As my bf and I arrived a lady greeted us and asked if we wanted to do AYCE or al la carte. I am a big AYCE fan because you get your money's worth and then some. I checked out the menu and saw some new stuff that I've never seen at some other sushi places. I came upon the creamy mermaid as an appetizer, I had no clue what was in it so I asked the waitress, who was indeed very helpful. Creamy mermaid is shrimp wrapped in wonton with cream cheese and with special sauce...umm yum!! 

Must try: 
Creamy mermaid- will blow your mind if not your outta your mind. 
Mussels- good, has crab baked with it. 
Oyster Shooter's- MmMm 
Tako- my favorite 
Screaming tuna roll- chef's special, was good but too much cucumber 
Tako salad- with cucumber in vinegar sauce 
Lychee Sorbet- chunks of lychee what can go wrong. Make sure you leave room, totally recommend trying it! 

Overall, my experience here was fantabulous! The service was great, the chefs and waitress was very helpful, and very clean with Japanese decorations. Also, the waitresses get to wear the cool Japanese outfit. Prices are average $25.95 AYCE dinner. But if you go the day before, the day of, or day after your bday your FREE!",jEBySjq6tgL-_R3P7LHq0w,2,1,4,ITGzY9OPyyN_x3PgmqJ1mA
70833,2016-10-27,0,98hNRWW4AC5IzEg4BP3f5Q,Good sushi and good service. The staff is really friendly and very helpful on suggestion on what to order if your not a big sushi fan.,aQ8WMF9fhAKoQWLR_SXVdg,0,0,4,GBS5sXylhjjovNOpX5cgpg
79254,2009-07-06,0,98hNRWW4AC5IzEg4BP3f5Q,Located on W. Craig just northeast of rancho in the smith's plaza. Sage sushi must be one of my favorite sushi spot. It's delicious food  and great service makes this sushi bar an outstanding place to eat.,p7hX15xoXJobzz_lYCtnwg,1,0,4,JHI1GLYG7N0dsimvxeHMVA
79562,2016-01-24,0,98hNRWW4AC5IzEg4BP3f5Q,"Good hospitality, good selection of rolls, free wifi, and birthday specials. Will definitely come again!",NJr6A_Yvci-nsWJRAL2EWw,0,0,5,K5CBb16xw8f1JKnR1WfSNg
98928,2013-04-04,0,98hNRWW4AC5IzEg4BP3f5Q,"This was my go to place in north Summerlin when I was too tired to drive to Sushi Mon.  On two of my most recent visits I stopped eating after one piece of sushi because the rice was underdone and inedible.  To add insult to injury they charged my for what I had ordered and was unable to eat.  Over a 6 month period I collected 10 stamps and my next dinner would have been free, but I am so sure I'll be disappointed I don't even want to to there for a free meal!",B3tQ-TJ6Ca_AxKn15VAEEA,0,0,2,roT8Lk5YRzE_EM5S1FCmYg
111211,2016-07-14,0,98hNRWW4AC5IzEg4BP3f5Q,"Delicious all you can eat lunch $21.95 every day.   Many types of nigiri sushi ""melts in your mouth"" for the super white (from the cod family).   There are spicy options for chefs rolls.",YRkthcaUgAEEA7CauPdL2w,0,0,4,-DCjOmbuW6K0yhyvzxzjHw
167522,2014-08-02,0,98hNRWW4AC5IzEg4BP3f5Q,"I just love this place!  They are friendly, kind and always ready to say Hi.  The Sushi is always fresh and the AYCE is awesome.  They have more rolls than any other place in town.  They offer free AYCE on your B-day too.  I like to go to local places and this one is always been a favorite.",E6e4v5T6rKTJXMuJuJYMAg,0,0,5,lNhUugKxpD9IIcdN1QyMCA
192861,2014-09-07,0,98hNRWW4AC5IzEg4BP3f5Q,I've been eating at Sage for going on 6 years now. In that time my friends and I have visited other sushi resteraunts. Some to our dismay. We always return to our favorite place. The turn over in wait staff has caused an ebb and flow with service. Common in the food industry. The sushi however is always of high quality in taste and creativity.  I enjoy the interaction of the chefs with the clientel. Its far better than the generic stoic composure of other establishments. It goes a long way in creating a pleasurable dining experience.,_3d4faxGFpzcX9G3YrKjZQ,2,0,5,crUJGSndLzcX1fPSR4Dp8w
209644,2014-12-11,0,98hNRWW4AC5IzEg4BP3f5Q,"I would not recommend this restaurant, first of all its filthy,owners dont care, food is low grade standard trying to cut cost.it not a place for best dining experienced",LsDylC4PhUjSNfvoISCNsg,0,0,1,UDDPRNEnVcTHPmQo9-MlxQ
294329,2014-10-27,0,98hNRWW4AC5IzEg4BP3f5Q,"Overall a nice place to eat service is good but ayce was a bit overpriced in my opinion. The rolls that where made for me where all very skimpy on the fish and had a ton of rice.   Too much rice actually, I probably won't come again, wasn't bad.... Just not my taste for a sushi bar. I really enjoy the actual fish more so then rice.",o5_7Q26l-Vaz9pJlM7EE4g,1,0,3,owRFl_XL19cFxo0aqP4EXQ
325810,2015-11-19,0,98hNRWW4AC5IzEg4BP3f5Q,Me and my man always come here. Food is amazing and the servers are very friendly. This place is a must go.,ouWguGmNoVv7GUA5sNi7qQ,0,0,5,hwpVR09gAdUTxzIXk6A3UQ
352091,2016-02-19,0,98hNRWW4AC5IzEg4BP3f5Q,Love this place!!! Great atmosphere! The sushi was really good and the people working are really friendly! I'll be back!,yNGl54dBwemAbBI40HtApA,0,0,5,XWyq1vKFGOuSUmebNVIgPA
