,date,funny,business_id,text,user_id,useful,cool,stars,review_id
19144,2012-07-28,0,px2l_fl2_LlVthj50T7o2g,"The food here is delicious; service is great and it's family operated, meaning they greet you with recognition and warmth when you walk through the door.",KZcWMBZbGtfrmQ0UcRYxUQ,2,1,5,fpQfhBTxxVdHzDJeHoS3XQ
154873,2016-12-26,0,px2l_fl2_LlVthj50T7o2g,I came in tonight I got chow main and orange chicken and it was so gross i do not recommend this place to anyone the orange chicken sauce was so thick tasted like it was a month old the chicken was dry the cow main was drenched in soy sauce and noodles where over cooked no veggies or anything,2W8kQZI5Nt8MnOlHjcSqlg,2,0,1,TnpXO41WyA09FG5RhAtVxA
170387,2013-01-13,0,px2l_fl2_LlVthj50T7o2g,"China Joe's is below average. I placed an order for delivery. They were late, the soup had spilled out into the delivery bag, and they delivered the wrong food item to my roommate. Also, they charge a dollar extra for shrimp lo mein and I got 4 shrimp. Come on!!! I don't believe I will be ordering from them again.",NphdjrE8H45jEt5GjBo9SQ,1,0,1,Txr1t3wOTs-8QqOm12H5ag
363712,2014-05-05,4,px2l_fl2_LlVthj50T7o2g,"First time visit...usually I order from Yummy Grill Sushi off Eastern.  I ordered the mongolian beef and got about 6 fatty pieces of meat, a pretty big portion of rice and tons of white and green onions.  I called to complain and advised the cashier to call the dish onions, onions and more onions...he hung up on me.",8TOgeZz-UtZk-Ni-Og6hkA,3,0,1,NJ8iGrsHIAPZKEbs_W93qw
403464,2017-07-10,0,px2l_fl2_LlVthj50T7o2g,"My husband and I just left! (July 9, 2017)  Very disappointed with the entire $30+ experience!  We were put-off  by the woman's attitude.  Our questions about the menu items were answered with an indifference and impatience!  

This was our second visit.  Our first encounter was also unpleasant. My husband received an order that was very spicy, but initially told it was not hot!  When he questioned the waitress she told him the order before must have been spicy.  The wok was wiped out, but there ""must have been residue!  They did not offer him a replacement or an apology.  I shared my Chicken Cashew with him and we did not want to create a conflict.  The restaurant is small and there were several other customers.

Why did we return?  We are new to the area and this place was recommended by a neighbor.  We thought if we reviewed what occurred on our first visit, we would not have any problems.  The waitress told us ""too bad, most people like spicy food!""

We had a big problem!  I was served the chicken cashew.  Immediately, when I opened the styrofoam box it smelled burnt.  I did not want to complain so I added the brown rice.  There was a mild smell and tasted ""edgy.""  My husband was served his order, a noodle combo of chicken and beef.  The chicken was clearly burnt with a strong burnt odor. He brought it to the counter and the woman rambled about the way it is made.  My husband said, ""I can not eat it.""  I saw the burnt chicken and smelled the
contents.  I thought it is either the burnt chicken or bad meat.

After arguing, the woman asked if he wanted something else.  He ordered Cashew Chicken!  It too had a similar odor.  The flavor was different than mine?  He did not eat it, threw it away and we left! 

What is our recourse for this poor service and burnt or spoiled food!  We are 
still experiencing the after-taste.",o8Xvw9W5OqzirWIdk3d6JQ,0,0,1,jk9mBCdNdm8hQgaumFHWIw
486464,2017-07-07,0,px2l_fl2_LlVthj50T7o2g,"Went here for lunch today,service nice but food is terrible. Had basic lunch plate,noodle taste old and way to much pepper on it.chicken was ok but a little dry",q-K7Wwo-vKN4SYoUv7pfNw,0,0,1,fDxSDjnsDD2sGuZBuYV6GA
564773,2016-09-02,0,px2l_fl2_LlVthj50T7o2g,"Ordered lunch for pick up. My husband picked it up and brought it to my job. I recieved my food abut, I couldn't eat it. The chicken wings and bbq pork was dried out and old. They tryed to cover up the old dried up pork slices with teriyaki sauce. The rice was hard and the fries was cold.  They will never get my business nor my coworkers bussiness. I tore up the paper menus.",l7FqDJsvS5E7FTtUUKQXZQ,1,0,1,jwDZ5byB9YEBPlKoQqYmDw
673216,2014-04-17,0,px2l_fl2_LlVthj50T7o2g,They treat us like family! We eat there often. The kids love it as much as mom and dad,ugRQn9LSi3y1IWqhUx3EAQ,0,0,5,toF1OUZVkaPPDLXdJG9Nrg
703557,2013-12-19,2,px2l_fl2_LlVthj50T7o2g,"I had them a few more times after my previous review and I no longer suggest them. Each time I received orders the quality was worse and worse. Tonight tops it all in terms of quality. It was completely inedible! We didn't receive our order just shy of 2 hours after ordering and being told 30-45 min. They are only a 5 min drive away from our home. I ordered chicken and Chinese broccoli lunch special that came with the egg rice and egg drop soup. The chicken was so bitter and greasy I had to share it to be certain it was as bad as I thought. If someone shutters and spits out what you give them it speaks for itself. The rice was a weird mix of gummy from old grease and hard from what I can only guess was a result of sitting out for a long period of time. I will never eat here again. It's a waste of time and money.
*Recap 2 hours on a Wednesday for literal trash.",K1ZCH_OpHd20b7-u7Ee2qw,6,0,1,y8R6W2p_8Jz2mZKcirtATA
813617,2014-08-20,0,px2l_fl2_LlVthj50T7o2g,"Terrible . I ordered 2 times online and every single time, sth was missing from my order .

Orange chicken was not fresh and it tasted terrible",zlhms8mQ30Og8H2EZ7ZR_w,2,0,1,j9WvSrOeZx6V4HGrok3xnA
899727,2014-11-14,0,px2l_fl2_LlVthj50T7o2g,"While staying in Las Vegas working we stumbled across this place after coming down with a cold and needing some hot soap.  The wonton soup is the best I've EVER had.  They make it with lots of stuffed  wontons, shrimp, bbq pork, bok choy, cabbage and onions.   We also had the general chicken, orange chicken and chillimint chicken.  All of it was wonderful.  No heavy soggy batter just nice and crispy.  The delivery guy was pretty quick and very polite.

I would have given them a perfect score but they really lack when it comes to the lo mein noodles and the fried rice.  Very plain!  Don't let keep you from ordering thou, next time I'll order the steamed rice.",bu9crMRbk-7n3WKnwkC2Yw,0,0,4,BUPBR214vllqDlvcnrEtIg
1059207,2017-01-13,0,px2l_fl2_LlVthj50T7o2g,"I have been ordering from this restaurant well over a year and today was the absolute worse.  First the order took over an hour to get to us, then the order should have been fried rice with orange chicken and was given steamed rice.  When I called they asked if I wanted to get a credit??? No, I want my food.

The other thing is I ordered the Spicy 4 Combination Fried Rice and it was not spicy.  The rice was not fluffy and the meat was overcooked.

Unfortunately, I will NOT be returning to what was once my favorite Chinese restaurant in Henderson.",9k3uxoh-JKAXMXOd8oCSFg,1,0,1,IgrfuV0976pl_1MUGr9snQ
1457290,2018-01-23,0,px2l_fl2_LlVthj50T7o2g,Food was not that great. It had way too much cinnamon. Would not recommend this place . Definitely needs help!,OlefQI0Rf2VWCedsAeFAvA,0,0,2,2NcHxHw9Ip_ENiSPQoHB0w
1512817,2013-07-01,0,px2l_fl2_LlVthj50T7o2g,Delivery was fast. Delivery man was very polite. Typical fast food.  Tasty and fresh. I would order from here again.,2fJ0RMih1DkHwNZ8F-Hsgw,0,0,3,9WPb174HsHzLl9UfXb6bdw
1572287,2015-04-22,0,px2l_fl2_LlVthj50T7o2g,"omg....horrible ....i got delivery from here last night , and it was all around bad . it took an hour and a half and i live 5 mins away , than the lady that answers the phone is so rude and rushes you to order and you cant get a word in edge wise , we finally get our food and we are missing the side items and the main entree is all veggies and no chicken , my order was the seasame chicken and it was so salty i thought i was having an heart attack just eating it , i had called to ask about my missing items and no one answered , so i called today and i let the lady know what happened and she could care less , i told her i wanted a refund and  she says for what ??? we were busy so thats why we messed up .....wow , i do not advise at all to even try this place . so mad about this .",pT0DBZ8B08ugDgWnDvAlKA,2,0,1,DNk3C_oVhs1_wH77PPK4jw
1761510,2011-11-02,2,px2l_fl2_LlVthj50T7o2g,"God awful.  I hate to give negative reviews, because I feel like each business has its own merit (the price is good and it gives you a choice of eggroll or soup with the lunch specials), but it must be said that the food was extremely dry and bland.  Even the rice, which you already expect to be plain, somehow tasted even more devoid of flavor than usual.  As soon as I opened up the box and saw the orange chicken, I didn't even feel like eating anymore.",QZDS5x8YE7KWsOBhXmw0Fg,2,0,1,T88uvjkh-skOZfSQiycxoA
2084370,2014-10-21,0,px2l_fl2_LlVthj50T7o2g,"Great food for the price, big servings. great costomer service. me and my husband ate here twice in a row it's good and glad I live close by!",mDryjzzqYjs_AyTn4uAH6A,1,0,5,non4PQSmzR_LJyUtVUpulA
2245687,2015-08-28,0,px2l_fl2_LlVthj50T7o2g,"I do not recommend ordering from here. We put in an order at 7:40pm and it is now 9:16pm with no sign of our food and absolutely no phone call or apology. We had to call them to see what was going on with it. They told us that they literally had JUST made the food. For an order that was 45 dollars worth of food, 20% of which was tip but we were, I guess, not important and neither was our money. Cancelled the order. I would not recommend this place to anyone. If I could give less than one star, I would. They deserve all their bad reviews.",FL8yfG03NaI6rwWJ-fNHLQ,2,0,1,t0Mx0k3GsDC0Dz_NRxd5kw
2775632,2017-04-11,0,px2l_fl2_LlVthj50T7o2g,"I stopped in on 4/7/17 and ordered chicken and broccoli. It tasted odd but I ate it just thinking they have their own spice mix for their food. Not even an hour later, I was in hell. I left work early and fought nausea the entire ride home. Maybe I had an 8 hour flu and my lunch option was just a coincidence? Either way, I won't be back.
Not cool, China Joe's.",yvWZJA-h-UEC_Xf51eE0OQ,0,0,1,4wrt0vVmaWMggSZJOavWSg
